country,from,to,city
dk,8700,,Horsens
dk,8721,,Daugård
dk,8722,,Hedensted
dk,8723,,Løsning
dk,8732,,Hovedgård
dk,8740,,Brædstrup
dk,8751,,Gedved
dk,8752,,Østbirk
dk,8762,,Flemming
dk,8763,,"Rask Mølle"
dk,8765,,Klovborg
dk,8766,,"Nørre Snede"
dk,8781,,Stenderup
dk,8783,,Hornsyld
dk,8800,,Viborg
dk,8830,,Tjele
dk,8831,,Løgstrup
dk,8832,,Skals
dk,8840,,Rødkærsbro
dk,8850,,Bjerringbro
dk,8860,,Ulstrup
dk,8870,,Langå
dk,8881,,Thorsø
dk,8882,,Fårvang
dk,8883,,Gjern
dk,8900,,Randers
dk,8950,,Ørsted
dk,8961,,Allingåbro
dk,8963,,Auning
dk,8970,,Havndal
dk,8981,,Spentrup
dk,8983,,"Gjerlev Jylland"
dk,8990,,Fårup
dk,9000,,Aalborg
dk,9020,,"Aalborg Nordjyllands Postcenter"
dk,9200,,"Aalborg SV"
dk,9210,,"Aalborg SØ"
dk,9220,,"Aalborg Øst"
dk,9230,,"Svenstrup Jylland"
dk,9240,,Nibe
dk,9260,,Gistrup
dk,9270,,Klarup
dk,9280,,Storvorde
dk,9293,,Kongerslev
dk,9300,,Sæby
dk,9310,,Vodskov
dk,9320,,Hjallerup
dk,9330,,Dronninglund
dk,9340,,Asaa
dk,9352,,Dybvad
dk,9362,,Gandrup
dk,9370,,Hals
dk,9380,,Vestbjerg
dk,9381,,Sulsted
dk,9382,,Tylstrup
dk,9400,,Nørresundby
dk,9430,,Vadum
dk,9440,,Aabybro
dk,9460,,Brovst
dk,9480,,Løkken
dk,9490,,Pandrup
dk,9492,,Blokhus
dk,9493,,Saltum
dk,9500,,Hobro
dk,9510,,Arden
dk,9520,,Skørping
dk,9530,,Støvring
dk,9541,,Suldrup
dk,9550,,Mariager
dk,9560,,Hadsund
dk,9574,,Bælum
dk,9575,,Terndrup
dk,9600,,Aars
dk,9610,,Nørager
dk,9620,,Aalestrup
dk,9631,,Gedsted
dk,9632,,Møldrup
dk,9640,,Farsø
dk,9670,,Løgstør
dk,9681,,Ranum
dk,9690,,Fjerritslev
dk,9700,,Brønderslev
dk,9740,,"Jerslev Jylland"
dk,9750,,Østervrå
dk,9760,,Vrå
dk,9800,,Hjørring
dk,9830,,Tårs
dk,9850,,Hirtshals
dk,9870,,Sindal
dk,9881,,Bindslev
dk,9900,,Frederikshavn
dk,9940,,Læsø
dk,9970,,Strandby
dk,9981,,Jerup
dk,9982,,Ålbæk
dk,9990,,Skagen
